Date,Covid-19 Cases- Fully vaccinated,Total Vaccinated ,Total Cases
2021-08-09,82,9343260,552804
2021-08-10,63,9381122,553125
2021-08-11,58,9418632,553449
2021-08-12,88,9456663,553962
2021-08-13,85,9493726,554472
2021-08-14,111,9532105,555050
2021-08-15,94,9563420,555561
2021-08-16,113,9583506,556087
2021-08-17,79,9612865,556435
2021-08-18,98,9641986,556920
2021-08-19,75,9670921,557451
2021-08-20,103,9700285,558101
2021-08-21,137,9731926,558790
2021-08-22,124,9754737,559512
2021-08-23,158,9770389,560151
2021-08-24,114,9793814,560637
2021-08-25,135,9819677,561297
2021-08-26,141,9844659,561975
2021-08-27,147,9867920,562756
2021-08-28,160,9892465,563591
2021-08-29,189,9911914,564331
2021-08-30,167,9923606,565025
2021-08-31,91,9942834,565550
2021-09-01,152,9964336,566206
2021-09-02,173,9983796,567071
2021-09-03,179,10006367,567878
2021-09-04,208,10031003,568822
2021-09-05,168,10049092,569633
2021-09-06,124,10060774,570214
2021-09-07,130,10068507,570778
2021-09-08,136,10089234,571332
2021-09-09,178,10109582,572130
2021-09-10,189,10128949,572978
2021-09-11,211,10152637,573835
2021-09-12,182,10170086,574619
2021-09-13,125,10179312,575219
2021-09-14,125,10195431,575796
2021-09-15,146,10215951,576389
2021-09-16,209,10236143,577253
2021-09-17,213,10256563,578048
2021-09-18,200,10280570,578869
2021-09-19,175,10299445,579584
2021-09-20,152,10309713,580194
2021-09-21,140,10327192,580768
2021-09-22,131,10351311,581231
2021-09-23,148,10378380,581908
2021-09-24,170,10406874,582635
2021-09-25,155,10437551,583275
2021-09-26,154,10461784,583928
2021-09-27,159,10474837,584541
2021-09-28,119,10493722,585007
2021-09-29,115,10517103,585502
2021-09-30,151,10540179,586149
2021-10-01,166,10558963,586817
2021-10-02,198,10583567,587521
2021-10-03,173,10599457,588101
2021-10-04,139,10612380,588612
2021-10-05,128,10629132,589041
2021-10-06,141,10649353,589517
2021-10-07,164,10665079,590104
2021-10-08,192,10684356,590677
2021-10-09,190,10707708,591331
2021-10-10,147,10726674,591866
2021-10-11,125,10734563,592324
2021-10-12,130,10738052,592714
2021-10-13,104,10756935,593020
2021-10-14,146,10775345,593437
2021-10-15,162,10794769,593933
2021-10-16,157,10815108,594419
2021-10-17,155,10830407,594862
2021-10-18,108,10838750,595235
2021-10-19,105,10852509,595563
2021-10-20,84,10868680,595867
2021-10-21,140,10883221,596280
2021-10-22,167,10900029,596772
2021-10-23,109,10918231,597145
2021-10-24,123,10931045,597515
2021-10-25,95,10937705,597841
2021-10-26,93,10949674,598110
2021-10-27,118,10964047,598431
2021-10-28,144,10977572,598840
2021-10-29,140,10991730,599259
2021-10-30,126,11007022,599615
2021-10-31,117,11017767,599955
2021-11-01,161,11022859,600377
2021-11-02,136,11031522,600708
2021-11-03,142,11042298,601086
2021-11-04,159,11053036,601524
2021-11-05,249,11063495,602087
2021-11-06,218,11069363,602595
2021-11-07,248,11078003,603231
2021-11-08,191,11089632,603711
2021-11-09,173,11098007,604152
2021-11-10,205,11107758,604606
2021-11-11,245,11117999,605248
2021-11-12,222,11126663,605846
2021-11-13,273,11138723,606507
2021-11-14,300,11147412,607173
2021-11-15,212,11152122,607725
2021-11-16,189,11160503,608206
2021-11-17,202,11169767,608718
2021-11-18,314,11178476,609429
2021-11-19,323,11187346,610222
2021-11-20,287,11197154,610950
2021-11-21,331,11204499,611691
2021-11-22,286,11208667,612318
2021-11-23,266,11215575,612931
2021-11-24,237,11223333,613522
2021-11-25,329,11230866,614270
2021-11-26,378,11238458,615197
2021-11-27,349,11245640,616051
2021-11-28,396,11250989,617015
2021-11-29,315,11254056,617803
2021-11-30,308,11259729,618490
2021-12-01,336,11266204,619270
2021-12-02,429,11272268,620229
2021-12-03,442,11281481,621260
2021-12-04,499,11288025,622313
2021-12-05,536,11292723,623497
2021-12-06,426,11295706,624384
2021-12-07,401,11300708,625312
2021-12-08,502,11306219,626321
2021-12-09,617,11311453,627611
2021-12-10,718,11316878,629064
2021-12-11,864,11323370,630671
2021-12-12,771,11327927,632147
2021-12-13,809,11330544,633683
